id,nom,prenom,parti,sigle,img,couleur,key,min,max,moy
1,Arthaud,Nathalie,Lutte ouvrière,LO,arthaud,#BC1A1A,voix_1,17,34,25
2,Roussel,Fabien,Parti communiste,PCF,roussel,#FF0000,voix_2,17,34,25
3,Macron,Emmanuel,La République en Marche,LREM,macron,#FF8000,voix_3,17,34,25
4,Lassalle,Jean,Résistons,,lassalle,#9A7D24,voix_4,17,34,25
5,Le Pen,Marine,Rassemblement national,RN,lepen,#1C4385,voix_5,17,34,25
6,Zemmour,Éric,Reconquête,,zemmour,#071868,voix_6,17,34,25
7,Mélenchon,Jean-Luc,France insoumise,LFI,melenchon,#FB6969,voix_7,17,34,25
8,Hidalgo,Anne,Parti socialiste,PS,hidalgo,#F76E9E,voix_8,17,34,25
9,Jadot,Yannick,Europe-Ecologie Les Verts & Génération.s,EELV,jadot,#6EF000,voix_9,17,34,25
10,Pécresse,Valérie,Les Républicains,LR,pecresse,#2B99FC,voix_10,17,34,25
11,Poutou,Philippe,Nouveau parti anticapitaliste,NPA,poutou,#E54343,voix_11,17,34,25
12,Dupont-Aignan,Nicolas,Debout la France,DLF,dupontaignan,#042FA0,voix_12,17,34,25
13,Abstention,,,,abstention,#042FA0,voix_13,17,34,25
14,Vote blanc,,,,voteblanc,#042FA0,voix_14,17,34,25